age,sex,zone,mc,vage,bonus,duration,freq,sev
42,2,4,1,13,7,0.3,0,0
26,2,1,3,1,1,0.86,2,276298
49,2,4,2,3,6,1,0,0
17,1,4,1,17,1,1.04,0,0
60,2,3,3,15,6,0.5,0,0
47,2,3,5,16,7,1.97,0,0
27,2,5,4,4,3,0.33,0,0
28,2,4,6,9,5,0.21,0,0
49,2,4,4,2,3,2,0,0
53,2,5,5,5,2,0.5,0,0
40,2,3,3,1,1,0.83,0,0
23,1,2,4,12,1,0.53,0,0
33,2,4,5,18,6,1,0,0
31,2,4,3,1,5,1.12,0,0
53,2,4,6,9,1,0.4,0,0
56,2,3,4,25,7,0.93,0,0
43,2,1,3,13,3,1,0,0
23,2,2,7,3,1,0.01,0,0
30,2,4,6,12,1,0.96,0,0
26,2,2,6,4,6,0.31,0,0
62,2,6,3,13,1,0.83,0,0
30,1,4,4,13,2,0,0,0
46,2,4,4,14,5,1,0,0
44,2,4,2,3,1,0.73,0,0
54,2,4,3,16,6,3.88,0,0
56,2,1,2,16,7,1.46,0,0
25,2,3,3,4,4,0.86,0,0
51,2,1,1,44,7,1,0,0
46,2,2,3,12,4,0.38,0,0
51,2,3,3,16,2,2.03,0,0
65,2,4,3,8,2,1,0,0
58,2,2,4,13,5,1,0,0
23,2,4,6,11,4,0.53,0,0
22,2,2,4,16,1,1.38,0,0
21,2,4,5,14,2,0.5,0,0
43,2,4,3,15,6,2.29,0,0
46,2,4,6,8,1,0.04,0,0
45,2,3,6,7,7,0.08,0,0
48,2,6,5,14,3,0.04,0,0
52,2,2,5,17,7,2.98,0,0
56,2,3,3,13,1,0.72,0,0
48,2,4,3,12,3,1,0,0
45,2,3,1,30,7,0.99,0,0
43,2,3,3,0,1,0,0,0
39,2,4,1,13,1,0.3,0,0
45,2,3,3,24,2,1.21,0,0
26,1,4,6,3,1,0.3,0,0
31,2,4,2,23,1,1,0,0
29,1,4,3,18,1,0.29,0,0
39,2,1,3,6,1,0.81,0,0
53,2,4,1,41,1,1,0,0
68,2,1,1,70,1,1,0,0
56,1,4,6,14,7,0.99,0,0
44,2,4,6,1,1,0.1,0,0
50,2,4,3,16,7,11.08,0,0
47,1,3,2,5,2,0.5,0,0
54,2,1,4,17,7,0.95,0,0
27,2,2,4,12,7,0.56,0,0
33,2,3,2,17,1,0.92,0,0
57,2,3,3,6,4,0.5,0,0
30,2,6,7,11,1,0.64,0,0
36,2,2,4,20,2,0.49,0,0
22,1,6,3,1,1,0,0,0
54,1,2,4,3,1,0,0,0
26,2,2,4,5,5,0.06,0,0
44,1,4,3,2,6,2.82,0,0
21,2,4,6,7,2,0.88,0,0
38,2,6,4,9,5,1,0,0
20,2,3,2,1,2,0,0,0
30,2,1,4,15,3,0.97,0,0
46,2,2,3,10,7,0.95,0,0
36,2,4,1,37,1,1.45,0,0
44,2,4,1,51,7,1,0,0
54,2,1,3,9,6,0.5,0,0
49,1,2,5,17,6,0.52,0,0
23,2,1,5,12,3,0.81,0,0
66,2,6,5,2,4,1,0,0
17,2,4,1,16,2,0,0,0
55,2,3,6,4,7,1,0,0
44,2,4,3,2,7,21.22,0,0
44,2,4,4,16,3,3.7,0,0
48,2,4,4,14,3,1.32,0,0
54,2,4,5,10,7,5.91,0,0
55,2,4,3,13,2,1.88,0,0
38,1,2,5,10,4,0.17,0,0
49,2,4,4,22,7,1,1,1505
65,2,4,3,4,6,1,0,0
53,2,4,2,17,3,0.5,1,2037
27,2,4,5,6,2,1.92,0,0
47,1,3,3,3,7,2,0,0
49,2,4,5,2,1,0.64,0,0
45,1,3,5,16,3,0.5,0,0
31,1,4,6,13,1,0.09,0,0
34,2,1,4,51,3,0.43,0,0
48,1,4,3,6,7,1.92,0,0
31,2,4,4,26,4,0.78,0,0
48,1,4,2,3,7,1,0,0
59,2,2,6,17,7,1.26,0,0
44,2,4,6,5,1,0.3,0,0
47,2,4,3,15,5,1.5,0,0
